load_cell, time_of_flight, time
-1331877, 127.56, 16:24:20
-1335881, 129.21, 16:24:21
-1336961, 130.47, 16:24:22
-1341397, 132.56, 16:24:23
-1344767, 134.33, 16:24:24
-1348455, 135.75, 16:24:25
-1353295, 138.03, 16:24:26
-1357767, 139.37, 16:24:27
-1363345, 141.42, 16:24:28
-1368561, 142.91, 16:24:29
-1376677, 144.72, 16:24:30
-1382633, 146.42, 16:24:31
-1390479, 147.80, 16:24:32
-1397375, 149.69, 16:24:33
-1406081, 151.57, 16:24:34
-1415353, 153.03, 16:24:35
-1424379, 155.12, 16:24:36
-1434339, 157.09, 16:24:37
-1440629, 158.03, 16:24:38
-1449101, 159.57, 16:24:39
-1459907, 161.73, 16:24:40
-1467343, 163.39, 16:24:41
-1476369, 164.21, 16:24:42
-1482227, 166.06, 16:24:43
-1484301, 167.56, 16:24:44
-1490749, 169.53, 16:24:45
-1495569, 171.14, 16:24:46
-1502913, 173.07, 16:24:47
-1512025, 175.08, 16:24:48
-1521273, 176.93, 16:24:49
-1530039, 179.84, 16:24:50
-1535331, 181.42, 16:24:51
-1542707, 184.25, 16:24:52
-1547949, 185.51, 16:24:53
-1557823, 187.72, 16:24:55
-1566881, 190.12, 16:24:55
-1577429, 191.93, 16:24:57
-1584495, 194.33, 16:24:57
-1602087, 196.30, 16:24:58
-1701749, 197.24, 16:25:00
-1767691, 197.20, 16:25:01
-1877305, 197.52, 16:25:02
-1881519, 197.52, 16:25:03
-1936943, 197.24, 16:25:04
-1992061, 197.72, 16:25:05
-1991291, 197.80, 16:25:06
-1981915, 197.44, 16:25:07
-2054449, 198.23, 16:25:08
-2113961, 198.39, 16:25:09
-2214473, 198.31, 16:25:10
-2269815, 198.90, 16:25:11
-2316357, 199.02, 16:25:12
-2413637, 199.49, 16:25:13
-2523575, 199.76, 16:25:14
-2616755, 199.80, 16:25:15
-2665589, 200.71, 16:25:16
-2653531, 200.98, 16:25:17
-2643387, 200.67, 16:25:18
-2637069, 200.31, 16:25:19
-2633617, 200.63, 16:25:20
-2630675, 200.79, 16:25:21
-2577101, 200.71, 16:25:22
-2222445, 203.46, 16:25:23
-1775729, 208.90, 16:25:24
-1632955, 210.00, 16:25:25
-1653959, 211.77, 16:25:26
-1669169, 213.43, 16:25:27
-1662009, 213.66, 16:25:28
-1671573, 213.98, 16:25:29
-1688747, 216.02, 16:25:30
-1708245, 217.60, 16:25:31
-1721251, 219.25, 16:25:32
-1718515, 220.31, 16:25:33
-1713497, 220.28, 16:25:34
-1706571, 220.47, 16:25:35
-1701959, 220.00, 16:25:36
-1703431, 220.00, 16:25:37
-1699689, 220.20, 16:25:38
-1700867, 219.53, 16:25:39
-1697755, 218.66, 16:25:40
-1700145, 219.92, 16:25:41
-1701213, 218.98, 16:25:42
-1705039, 220.08, 16:25:43
-1719733, 220.47, 16:25:44
-1732679, 220.47, 16:25:45
-1729547, 221.38, 16:25:46
-1727793, 220.87, 16:25:47
-1727451, 220.47, 16:25:48
-1752607, 221.81, 16:25:49
-1773239, 223.11, 16:25:50
-1795203, 225.91, 16:25:51
